 ,Area,Mean,Min,Max,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Length
170,1.449,69.801,31.876,93.998,-78.690,0.430,6.509,1348.000,1717.000,101.310,0.000,0.000,0.000,NaN,6.509
171,1.403,55.613,23.000,105.000,-90.000,0.433,6.383,1376.000,1743.000,90.000,0.000,0.000,0.000,NaN,6.383
172,1.403,49.646,15.000,111.000,-36.870,0.433,6.383,1372.000,1460.000,143.130,0.000,0.000,0.000,NaN,6.383
173,1.494,68.301,41.000,104.500,-41.186,0.408,6.785,1455.000,1478.000,138.814,0.000,0.000,0.000,NaN,6.785
174,1.584,66.697,28.000,95.478,-17.354,0.391,7.133,1130.000,1635.000,162.646,0.000,0.000,0.000,NaN,7.133
175,1.449,17.287,0.000,71.000,-101.310,0.430,6.509,1873.000,1772.000,78.690,0.000,0.000,0.000,NaN,6.509
176,1.494,53.020,9.447,115.000,-123.690,0.394,6.904,1721.000,1839.000,56.310,0.000,0.000,0.000,NaN,6.904
177,2.354,67.626,41.404,124.524,-79.796,0.253,10.809,1838.000,1797.000,100.204,2.220E-16,0.000,0.000,NaN,10.809
178,1.539,21.864,0.000,101.000,-68.839,0.387,7.073,1800.000,1934.000,111.161,0.000,0.000,0.000,NaN,7.073
179,1.675,45.277,4.667,93.333,-59.859,0.362,7.627,1609.000,1690.000,120.141,4.441E-16,0.000,0.000,NaN,7.627
180,1.358,30.974,0.327,61.000,-107.819,0.436,6.258,1678.000,1703.000,72.181,0.000,0.000,0.000,NaN,6.258
181,1.539,78.321,52.190,101.537,-32.735,0.386,7.082,1711.000,1621.000,147.265,0.000,0.000,0.000,NaN,7.082
182,1.222,70.077,38.385,160.000,-100.886,0.484,5.633,1851.000,1755.000,79.114,2.220E-16,0.000,0.000,NaN,5.633
183,1.449,70.318,33.212,102.476,-69.228,0.418,6.599,1544.000,1917.000,110.772,0.000,0.000,0.000,NaN,6.599
184,1.449,56.333,24.909,112.000,-14.931,0.417,6.606,1597.000,1768.000,165.069,0.000,0.000,0.000,NaN,6.606
185,1.720,35.693,12.039,88.000,-46.081,0.340,7.975,1597.000,1800.000,133.919,8.882E-16,0.000,0.000,NaN,7.975
186,1.358,72.796,43.888,130.000,-112.166,0.444,6.203,1886.000,1606.000,67.834,0.000,0.000,0.000,NaN,6.203
187,1.539,68.325,28.816,120.000,-17.879,0.403,6.930,1687.000,1969.000,162.121,4.441E-16,0.000,0.000,NaN,6.930
188,1.992,54.820,29.036,83.000,-156.975,0.293,9.247,1731.000,2003.000,23.025,4.441E-16,0.000,0.000,NaN,9.247
189,1.630,65.625,15.800,134.389,-23.629,0.371,7.432,1649.000,1770.000,156.371,0.000,0.000,0.000,NaN,7.432
190,1.177,62.938,31.342,136.000,-16.260,0.523,5.319,1716.000,1788.000,163.740,0.000,0.000,0.000,NaN,5.319
191,1.494,64.129,32.750,106.750,-82.875,0.399,6.861,1569.000,1595.000,97.125,0.000,0.000,0.000,NaN,6.861
192,1.449,51.673,18.908,104.000,-125.754,0.424,6.554,1654.000,1333.000,54.246,0.000,0.000,0.000,NaN,6.554
193,1.811,86.947,49.000,133.000,-46.042,0.332,8.276,1662.000,1200.000,133.958,8.882E-16,0.000,0.000,NaN,8.276
